asv_label,qiime_feature_id,total_reads,prevalence_samples,representative_sequence_length
Atacama_ASV_01,409faa5f5353e543bf6d99125c7c0e83,1217,9,227
Atacama_ASV_02,ffd60d684f32e6fd5b47fe90095f9d34,616,6,227
Atacama_ASV_03,c434ee7f909f455fc2109ef1f741a2d4,576,2,227
Atacama_ASV_04,1237d5925a7176fced9dda961a86c684,571,6,227
Atacama_ASV_05,1694836fc379411d2b9aa087d68d571b,562,4,227
Atacama_ASV_06,a7b877ae6d2f079a15b6b192a4425620,456,8,227
Atacama_ASV_07,a36b38f754f6abd278aeb9dbc7696343,420,9,227
Atacama_ASV_08,ef3fdbe1dcde754d91130cde6a4b4d61,397,10,227
Atacama_ASV_09,9279403ab31c9b2574b09cef10f08586,377,2,227
Atacama_ASV_10,96cbccca68ad868a78bb0604e4a41cf5,376,7,227
Atacama_ASV_11,5987b97497dc2c6f7c3d690526ea34b0,328,3,227
Atacama_ASV_12,11f7b172e09b77715d3bb2175a40b409,302,6,227
