sample_id,Atacama_ASV_01,Atacama_ASV_02,Atacama_ASV_03,Atacama_ASV_04,Atacama_ASV_05,Atacama_ASV_06,Atacama_ASV_07,Atacama_ASV_08,Atacama_ASV_09,Atacama_ASV_10,Atacama_ASV_11,Atacama_ASV_12,other_asvs,total_reads
BAQ1552.1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAQ2420.1.1,0,0,0,0,0,0,56,15,0,0,0,0,114,185
BAQ2420.1.2,0,0,0,0,0,0,0,0,192,0,0,0,102,294
BAQ2420.1.3,0,0,0,0,0,12,0,0,185,0,0,0,113,310
BAQ2420.2,0,0,0,0,0,0,0,0,0,0,0,14,282,296
BAQ2420.3,0,0,0,30,0,0,19,0,0,0,0,0,158,207
BAQ2462.1,0,0,0,30,0,36,0,0,0,0,0,0,401,467
BAQ2462.2,0,0,0,17,0,0,35,0,0,0,0,0,215,267
BAQ2462.3,0,0,0,13,0,36,40,0,0,0,0,0,127,216
BAQ2687.1,0,0,0,0,0,0,0,0,0,0,0,0,266,266
BAQ2687.2,0,0,0,0,0,0,0,0,0,0,0,0,379,379
BAQ2687.3,0,0,0,0,0,0,0,0,0,0,0,0,167,167
BAQ2838.1,0,0,0,0,0,20,0,0,0,0,0,0,118,138
BAQ2838.2,0,0,0,0,0,5,0,0,0,0,0,0,38,43
BAQ2838.3,0,0,0,0,0,0,41,0,0,0,0,0,41,82
BAQ3473.1,0,254,0,0,0,0,0,0,0,0,0,0,235,489
BAQ3473.2,193,0,0,0,0,0,0,0,0,0,0,0,77,270
BAQ3473.3,0,190,0,0,0,0,0,25,0,0,0,0,314,529
BAQ4166.1.1,0,0,0,0,0,0,0,0,0,0,0,0,365,365
BAQ4166.1.2,0,70,0,0,0,0,0,0,0,0,0,0,322,392
BAQ4166.1.3,0,0,0,0,0,0,0,0,0,0,0,0,390,390
BAQ4166.2,0,0,0,0,0,0,0,0,0,0,0,0,335,335
BAQ4166.3,0,0,0,0,0,0,0,221,0,0,0,0,260,481
BAQ4697.1,0,33,0,0,155,0,0,0,0,64,0,0,242,494
BAQ4697.2,0,0,0,0,36,0,0,0,0,139,0,0,224,399
BAQ4697.3,0,32,0,0,183,0,0,7,0,70,0,0,372,664
YUN1005.1.1,0,0,0,0,0,0,0,0,0,0,0,0,578,578
YUN1005.3,0,0,0,0,0,0,0,0,0,0,0,0,278,278
YUN1242.1,0,0,0,0,0,0,0,0,0,0,0,0,376,376
YUN1242.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
YUN1242.3,0,0,0,0,0,53,36,0,0,0,0,0,400,489
YUN1609.1,0,0,0,0,0,286,0,0,0,0,0,0,179,465
YUN2029.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YUN2029.2,0,0,0,0,0,0,95,0,0,0,84,0,380,559
YUN2029.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1
YUN3008.1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YUN3008.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1
YUN3153.2,0,0,0,0,0,0,0,0,0,0,0,0,190,190
YUN3153.3,0,0,0,0,0,0,46,5,0,0,20,0,263,334
YUN3184.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YUN3259.1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YUN3259.1.2,0,0,0,0,0,0,0,0,0,0,0,36,324,360
YUN3259.1.3,0,0,0,0,0,0,0,0,0,0,0,0,47,47
YUN3259.2,0,0,0,0,0,0,0,20,0,0,0,0,162,182
YUN3259.3,0,0,0,0,0,0,0,24,0,0,224,48,251,547
YUN3346.1,0,0,0,0,0,0,0,0,0,0,0,114,291,405
YUN3346.2,80,0,0,0,0,0,0,0,0,0,0,0,0,80
YUN3346.3,0,0,0,0,0,0,0,0,0,0,0,40,333,373
YUN3428.1,24,0,0,0,0,0,0,0,0,41,0,0,281,346
YUN3428.2,0,0,0,0,0,0,0,0,0,0,0,50,416,466
YUN3428.3,0,0,0,0,0,0,0,0,0,0,0,0,294,294
YUN3533.1.1,0,0,319,0,0,0,0,0,0,0,0,0,172,491
YUN3533.1.2,197,37,0,0,0,0,0,29,0,15,0,0,119,397
YUN3533.1.3,187,0,0,27,0,0,0,0,0,0,0,0,173,387
YUN3533.2,28,0,0,454,0,0,0,0,0,24,0,0,133,639
YUN3533.3,47,0,0,0,0,0,0,24,0,23,0,0,340,434
YUN3856.1.1,0,0,257,0,0,0,0,0,0,0,0,0,165,422
YUN3856.1.2,258,0,0,0,0,0,0,0,0,0,0,0,242,500
YUN3856.1.3,0,0,0,0,0,8,0,0,0,0,0,0,267,275
YUN3856.2,203,0,0,0,0,0,0,27,0,0,0,0,270,500
YUN3856.3,0,0,0,0,188,0,52,0,0,0,0,0,361,601
