sample_id,Atacama_ASV_01,Atacama_ASV_02,Atacama_ASV_03,Atacama_ASV_04,Atacama_ASV_05,Atacama_ASV_06,Atacama_ASV_07,Atacama_ASV_08,Atacama_ASV_09,Atacama_ASV_10,Atacama_ASV_11,Atacama_ASV_12,other_asvs,total_reads
BAQ1552.1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BAQ2420.1.1,0.0,0.0,0.0,0.0,0.0,0.0,30.27027,8.10811,0.0,0.0,0.0,0.0,61.62162,185
BAQ2420.1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.30612,0.0,0.0,0.0,34.69388,294
BAQ2420.1.3,0.0,0.0,0.0,0.0,0.0,3.87097,0.0,0.0,59.67742,0.0,0.0,0.0,36.45161,310
BAQ2420.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.72973,95.27027,296
BAQ2420.3,0.0,0.0,0.0,14.49275,0.0,0.0,9.17874,0.0,0.0,0.0,0.0,0.0,76.3285,207
BAQ2462.1,0.0,0.0,0.0,6.42398,0.0,7.70878,0.0,0.0,0.0,0.0,0.0,0.0,85.86724,467
BAQ2462.2,0.0,0.0,0.0,6.36704,0.0,0.0,13.10861,0.0,0.0,0.0,0.0,0.0,80.52434,267
BAQ2462.3,0.0,0.0,0.0,6.01852,0.0,16.66667,18.51852,0.0,0.0,0.0,0.0,0.0,58.7963,216
BAQ2687.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,266
BAQ2687.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,379
BAQ2687.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,167
BAQ2838.1,0.0,0.0,0.0,0.0,0.0,14.49275,0.0,0.0,0.0,0.0,0.0,0.0,85.50725,138
BAQ2838.2,0.0,0.0,0.0,0.0,0.0,11.62791,0.0,0.0,0.0,0.0,0.0,0.0,88.37209,43
BAQ2838.3,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,82
BAQ3473.1,0.0,51.94274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.05726,489
BAQ3473.2,71.48148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.51852,270
BAQ3473.3,0.0,35.91682,0.0,0.0,0.0,0.0,0.0,4.7259,0.0,0.0,0.0,0.0,59.35728,529
BAQ4166.1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,365
BAQ4166.1.2,0.0,17.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.14286,392
BAQ4166.1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,390
BAQ4166.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,335
BAQ4166.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.94595,0.0,0.0,0.0,0.0,54.05405,481
BAQ4697.1,0.0,6.68016,0.0,0.0,31.37652,0.0,0.0,0.0,0.0,12.95547,0.0,0.0,48.98785,494
BAQ4697.2,0.0,0.0,0.0,0.0,9.02256,0.0,0.0,0.0,0.0,34.83709,0.0,0.0,56.14035,399
BAQ4697.3,0.0,4.81928,0.0,0.0,27.56024,0.0,0.0,1.05422,0.0,10.54217,0.0,0.0,56.0241,664
YUN1005.1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,578
YUN1005.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,278
YUN1242.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,376
YUN1242.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1
YUN1242.3,0.0,0.0,0.0,0.0,0.0,10.83845,7.36196,0.0,0.0,0.0,0.0,0.0,81.79959,489
YUN1609.1,0.0,0.0,0.0,0.0,0.0,61.50538,0.0,0.0,0.0,0.0,0.0,0.0,38.49462,465
YUN2029.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
YUN2029.2,0.0,0.0,0.0,0.0,0.0,0.0,16.99463,0.0,0.0,0.0,15.02683,0.0,67.97853,559
YUN2029.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1
YUN3008.1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
YUN3008.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1
YUN3153.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,190
YUN3153.3,0.0,0.0,0.0,0.0,0.0,0.0,13.77246,1.49701,0.0,0.0,5.98802,0.0,78.74251,334
YUN3184.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
YUN3259.1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
YUN3259.1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,90.0,360
YUN3259.1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,47
YUN3259.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.98901,0.0,0.0,0.0,0.0,89.01099,182
YUN3259.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38757,0.0,0.0,40.95064,8.77514,45.88665,547
YUN3346.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.14815,71.85185,405
YUN3346.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80
YUN3346.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.72386,89.27614,373
YUN3428.1,6.93642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.84971,0.0,0.0,81.21387,346
YUN3428.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.72961,89.27039,466
YUN3428.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,294
YUN3533.1.1,0.0,0.0,64.96945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.03055,491
YUN3533.1.2,49.62217,9.3199,0.0,0.0,0.0,0.0,0.0,7.30479,0.0,3.77834,0.0,0.0,29.97481,397
YUN3533.1.3,48.32041,0.0,0.0,6.97674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.70284,387
YUN3533.2,4.38185,0.0,0.0,71.04851,0.0,0.0,0.0,0.0,0.0,3.75587,0.0,0.0,20.81377,639
YUN3533.3,10.82949,0.0,0.0,0.0,0.0,0.0,0.0,5.52995,0.0,5.29954,0.0,0.0,78.34101,434
