asv_label,mean_relative_abundance_percent,max_relative_abundance_percent,spearman_rho_vs_humidity,spearman_p_vs_humidity,spearman_q_bh_vs_humidity,mannwhitney_p_vegetated_vs_unvegetated,mannwhitney_q_bh_vegetated_vs_unvegetated
Atacama_ASV_01,6.85307,100.0,0.37931,0.005092606071646548,0.03745139039487091,0.009758587320065766,0.039034349280263066
Atacama_ASV_02,2.25957,51.94274,0.14534,0.2991042502098928,0.4595347106872555,0.040694900283476707,0.09766776068034409
Atacama_ASV_03,2.24768,64.96945,0.21267,0.12629810117738463,0.25259620235476926,0.26194760498834324,0.2857610236236472
Atacama_ASV_04,1.98799,71.04851,0.04065,0.7725718133281492,0.8428056145397992,0.1841903617702607,0.24558714902701428
Atacama_ASV_05,1.77215,31.37652,0.10022,0.47522468901331016,0.5702696268159722,0.10218495855957313,0.17517421467355396
Atacama_ASV_06,2.31464,61.50538,-0.35203,0.00973629253962709,0.03894517015850836,0.002213025679986303,0.013278154079917818
Atacama_ASV_07,2.99745,50.0,-0.29452,0.03229490410048905,0.09688471230146714,0.0008224734748150264,0.009869681697780316
Atacama_ASV_08,1.6954,45.94595,0.24336,0.07909988778533263,0.1898397306847983,0.17089033736030024,0.24558714902701428
Atacama_ASV_09,2.23185,65.30612,-0.01301,0.9263449391876171,0.9263449391876172,0.0804777953788197,0.1609555907576394
Atacama_ASV_10,1.48247,34.83709,0.37099,0.006241898399145151,0.03745139039487091,0.02550702354407182,0.07652107063221546
Atacama_ASV_11,1.10653,40.95064,-0.14319,0.30635647379150366,0.4595347106872555,0.3553384810788416,0.3553384810788416
Atacama_ASV_12,1.30547,28.14815,0.1319,0.3464722356259249,0.4619629808345665,0.2113552825207653,0.2536263390249184
