sample_id,total_reads,observed_asvs,shannon_diversity
BAQ1552.1.1,0,0,0.0
BAQ2420.1.1,185,8,1.78
BAQ2420.1.2,294,8,1.17438
BAQ2420.1.3,310,10,1.48871
BAQ2420.2,296,14,2.23713
BAQ2420.3,207,11,2.06362
BAQ2462.1,467,12,2.06846
BAQ2462.2,267,12,2.27134
BAQ2462.3,216,11,2.10769
BAQ2687.1,266,9,2.08871
BAQ2687.2,379,10,2.04318
BAQ2687.3,167,10,2.18702
BAQ2838.1,138,10,2.17046
BAQ2838.2,43,4,1.20709
BAQ2838.3,82,6,1.34959
BAQ3473.1,489,11,1.66974
BAQ3473.2,270,7,1.09648
BAQ3473.3,529,16,2.27115
BAQ4166.1.1,365,10,1.70418
BAQ4166.1.2,392,10,2.05642
BAQ4166.1.3,390,14,2.11929
BAQ4166.2,335,13,2.44902
BAQ4166.3,481,13,1.91312
BAQ4697.1,494,14,2.26676
BAQ4697.2,399,13,2.16252
BAQ4697.3,664,20,2.53605
YUN1005.1.1,578,17,2.17925
YUN1005.3,278,8,1.72587
YUN1242.1,376,8,1.72258
YUN1242.2,1,1,-0.0
YUN1242.3,489,14,2.23989
YUN1609.1,465,8,1.34966
YUN2029.1,0,0,0.0
YUN2029.2,559,16,2.3881
YUN2029.3,1,1,-0.0
YUN3008.1.3,0,0,0.0
YUN3008.3,1,1,-0.0
YUN3153.2,190,7,1.67644
YUN3153.3,334,13,2.3064
YUN3184.2,0,0,0.0
YUN3259.1.1,0,0,0.0
YUN3259.1.2,360,9,1.84188
YUN3259.1.3,47,2,0.6655
YUN3259.2,182,9,1.75341
YUN3259.3,547,13,1.99206
YUN3346.1,405,15,2.30531
YUN3346.2,80,1,-0.0
YUN3346.3,373,10,1.71954
YUN3428.1,346,13,2.39161
YUN3428.2,466,17,2.63405
YUN3428.3,294,9,1.42648
YUN3533.1.1,491,9,1.29614
YUN3533.1.2,397,12,1.82639
YUN3533.1.3,387,11,1.7663
YUN3533.2,639,12,1.24312
YUN3533.3,434,19,2.72109
YUN3856.1.1,422,9,1.40613
YUN3856.1.2,500,15,1.91681
YUN3856.1.3,275,14,2.10657
YUN3856.2,500,18,2.27841
YUN3856.3,601,25,2.66241
