sample_id,Atacama_ASV_26,Atacama_ASV_13,Atacama_ASV_24,Atacama_ASV_01,Atacama_ASV_02,Atacama_ASV_03,Atacama_ASV_21,Atacama_ASV_15,Atacama_ASV_38,Atacama_ASV_04,Atacama_ASV_08,Atacama_ASV_16,Atacama_ASV_30,Atacama_ASV_31,Atacama_ASV_43,Atacama_ASV_07,Atacama_ASV_12,Atacama_ASV_17,Atacama_ASV_29,Atacama_ASV_32,Atacama_ASV_36,Atacama_ASV_37,Atacama_ASV_42,Atacama_ASV_46,Atacama_ASV_51,Atacama_ASV_52,Atacama_ASV_14,Atacama_ASV_18,Atacama_ASV_19,Atacama_ASV_22,Atacama_ASV_25,Atacama_ASV_35,Atacama_ASV_39,Atacama_ASV_40,Atacama_ASV_41,Atacama_ASV_44,Atacama_ASV_45,Atacama_ASV_47,Atacama_ASV_48,Atacama_ASV_49,Atacama_ASV_50,Atacama_ASV_53,Atacama_ASV_54,Atacama_ASV_05,Atacama_ASV_06,Atacama_ASV_23,Atacama_ASV_27,Atacama_ASV_28,Atacama_ASV_33,Atacama_ASV_34,total_reads
BAQ1552.1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAQ2420.1.1,0,15,7,0,56,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185
BAQ2420.1.2,0,0,0,0,0,0,18,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,294
BAQ2420.1.3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,310
BAQ2420.2,0,0,0,0,0,0,13,0,0,0,0,14,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,18,0,296
BAQ2420.3,0,0,16,0,19,0,0,0,3,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,207
BAQ2462.1,0,0,23,0,0,36,0,0,0,0,30,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467
BAQ2462.2,0,0,40,0,35,0,0,0,0,0,17,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,267
BAQ2462.3,0,0,7,0,40,36,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216
BAQ2687.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266
BAQ2687.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379
BAQ2687.3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,167
BAQ2838.1,0,0,0,0,0,20,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138
BAQ2838.2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
BAQ2838.3,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
BAQ3473.1,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,489
BAQ3473.2,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270
BAQ3473.3,0,25,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,23,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529
BAQ4166.1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,7,0,0,0,0,0,0,0,30,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365
BAQ4166.1.2,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,392
BAQ4166.1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390
BAQ4166.2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,335
BAQ4166.3,8,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,46,0,0,16,0,0,0,0,0,0,0,0,0,0,0,40,481
BAQ4697.1,15,0,0,0,0,0,0,64,0,33,0,0,0,0,0,0,155,0,0,44,0,0,18,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494
BAQ4697.2,18,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,36,0,0,45,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,399
BAQ4697.3,20,7,0,0,0,0,0,70,0,32,0,0,0,0,0,0,183,0,0,63,0,0,26,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,664
YUN1005.1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578
