sample_id,Atacama_ASV_01,Atacama_ASV_02,Atacama_ASV_03,Atacama_ASV_04,Atacama_ASV_05,Atacama_ASV_06,Atacama_ASV_07,Atacama_ASV_08,Atacama_ASV_09,Atacama_ASV_10,Atacama_ASV_11,Atacama_ASV_12,Atacama_ASV_13,Atacama_ASV_14,Atacama_ASV_15,Atacama_ASV_16,Atacama_ASV_17,Atacama_ASV_18,Atacama_ASV_19,Atacama_ASV_20,Other,total_reads
BAQ2420.1.1,0.0,0.0,30.27027,0.0,0.0,8.10811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78378,0.0,0.0,0.0,0.0,0.0,0.0,57.83784,185
BAQ2420.1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.87755,294
BAQ2420.1.3,0.0,3.87097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.12903,310
BAQ2420.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.72973,0.0,4.05405,0.0,4.39189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.82432,296
BAQ2420.3,0.0,0.0,9.17874,0.0,14.49275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.72947,0.0,0.0,0.0,0.0,0.0,0.0,68.59903,207
BAQ2462.1,0.0,7.70878,0.0,0.0,6.42398,0.0,0.0,0.0,0.0,35.9743,0.0,0.0,0.0,4.92505,0.0,0.0,0.0,0.0,0.0,0.0,44.96788,467
BAQ2462.2,0.0,0.0,13.10861,0.0,6.36704,0.0,0.0,0.0,0.0,19.85019,0.0,0.0,0.0,14.98127,0.0,0.0,0.0,0.0,0.0,0.0,45.69288,267
BAQ2462.3,0.0,16.66667,18.51852,0.0,6.01852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24074,0.0,0.0,0.0,0.0,0.0,0.0,55.55556,216
BAQ2687.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.66165,0.0,0.0,0.0,11.2782,74.06015,266
BAQ2687.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,379
BAQ2687.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,167
BAQ2838.1,0.0,14.49275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.97101,0.0,0.0,0.0,77.53623,138
BAQ3473.1,0.0,0.0,0.0,51.94274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.05726,489
