asv_label,mean_relative_abundance_percent,max_relative_abundance_percent,spearman_rho_vs_humidity,spearman_p_vs_humidity,spearman_q_bh_vs_humidity,mannwhitney_p_vegetated_vs_unvegetated,mannwhitney_q_bh_vegetated_vs_unvegetated
Atacama_ASV_01,6.85307,100.0,0.37931,0.0050926060716465,0.0374513903948709,0.0097585873200657,0.039034349280263
Atacama_ASV_02,2.25957,51.94274,0.14534,0.2991042502098928,0.4595347106872555,0.0406949002834767,0.097667760680344
Atacama_ASV_03,2.24768,64.96945,0.21267,0.1262981011773846,0.2525962023547692,0.2619476049883432,0.2857610236236472
Atacama_ASV_04,1.98799,71.04851,0.04065,0.7725718133281492,0.8428056145397992,0.1841903617702607,0.2455871490270142
Atacama_ASV_05,1.77215,31.37652,0.10022,0.4752246890133101,0.5702696268159722,0.1021849585595731,0.1751742146735539
Atacama_ASV_06,2.31464,61.50538,-0.35203,0.009736292539627,0.0389451701585083,0.0022130256799863,0.0132781540799178
Atacama_ASV_07,2.99745,50.0,-0.29452,0.032294904100489,0.0968847123014671,0.000822473474815,0.0098696816977803
Atacama_ASV_08,1.6954,45.94595,0.24336,0.0790998877853326,0.1898397306847983,0.1708903373603002,0.2455871490270142
Atacama_ASV_09,2.23185,65.30612,-0.01301,0.9263449391876172,0.9263449391876172,0.0804777953788197,0.1609555907576394
Atacama_ASV_10,1.48247,34.83709,0.37099,0.0062418983991451,0.0374513903948709,0.0255070235440718,0.0765210706322154
Atacama_ASV_11,1.10653,40.95064,-0.14319,0.3063564737915036,0.4595347106872555,0.3553384810788416,0.3553384810788416
Atacama_ASV_12,1.30547,28.14815,0.1319,0.3464722356259249,0.4619629808345665,0.2113552825207653,0.2536263390249184
